"","License_Number","violation_count"
"1",84045,2
"2",353260,1
"3",400209,2
"4",402039,3
"5",402107,3
"6",410332,3
"7",412031,2
"8",412044,6
"9",412053,3
"10",412061,4
"11",412063,2
"12",412069,12
"13",412070,8
"14",412077,1
"15",412079,1
"16",412084,1
"17",412106,6
"18",412107,5
"19",412112,4
"20",412118,2
"21",412123,1
"22",412144,3
"23",412148,2
"24",412149,5
"25",412213,2
"26",412214,1
"27",412217,2
"28",412218,3
"29",412226,2
"30",412232,1
"31",412235,1
"32",412239,2
"33",412240,1
"34",412246,3
"35",412252,2
"36",412258,1
"37",412262,2
"38",412284,1
"39",412286,1
"40",412299,3
"41",412300,2
"42",412304,1
"43",412362,2
"44",412370,3
"45",412373,1
"46",412402,2
"47",412418,1
"48",412422,1
"49",412439,2
"50",412457,1
"51",412466,2
"52",412494,2
"53",412544,1
"54",412567,1
"55",412585,6
"56",412591,1
"57",412594,1
"58",412598,4
"59",412603,1
"60",412612,1
"61",412618,2
"62",412627,2
"63",412648,1
"64",412670,1
"65",412672,9
"66",412679,2
"67",412681,6
"68",412688,1
"69",412720,1
"70",412724,2
"71",412743,1
"72",412759,1
"73",412784,7
"74",412792,6
"75",412808,2
"76",412830,1
"77",412858,1
"78",412866,1
"79",412921,2
"80",412943,5
"81",412969,2
"82",413000,1
"83",413015,1
"84",413021,1
"85",413032,1
"86",413039,2
"87",413078,2
"88",413084,2
"89",413097,1
"90",413134,1
"91",413163,1
"92",413179,1
"93",413193,2
"94",413258,1
"95",413287,2
"96",413288,1
"97",413289,3
"98",413319,4
"99",413347,1
"100",413358,2
"101",413363,1
"102",413369,1
"103",413372,1
"104",413380,1
"105",413426,4
"106",413462,2
"107",413481,3
"108",413534,2
"109",413558,6
"110",413570,2
"111",413586,1
"112",413596,4
"113",413600,2
"114",413683,2
"115",413700,2
"116",413711,1
"117",413712,1
"118",413716,3
"119",413718,10
"120",413719,3
"121",413722,2
"122",413732,2
"123",413737,5
"124",413739,1
"125",413762,3
"126",413773,8
"127",413791,1
"128",413803,4
"129",413806,4
"130",413819,2
"131",413847,2
"132",413864,1
"133",413980,1
"134",414042,8
"135",414060,1
"136",414101,1
"137",414140,3
"138",414152,1
"139",414225,5
"140",414240,1
"141",414395,2
"142",414398,1
"143",414417,2
"144",414418,3
"145",414495,4
"146",414500,1
"147",414520,8
"148",414532,1
"149",414539,2
"150",414569,4
"151",414574,1
"152",414656,2
"153",414664,3
"154",414680,7
"155",414723,7
"156",414731,1
"157",414755,2
"158",414780,4
"159",414785,8
"160",414867,2
"161",414893,1
"162",414958,1
"163",414963,3
"164",414980,2
"165",414983,2
"166",415037,1
"167",415064,2
"168",415115,2
"169",415130,2
"170",415132,2
"171",415183,2
"172",415216,1
"173",415238,2
"174",415325,7
"175",415333,3
"176",415361,2
"177",415410,2
"178",415459,1
"179",415488,1
"180",415504,4
"181",415507,1
"182",415526,1
"183",415575,2
"184",415695,1
"185",415700,1
"186",415719,1
"187",415726,1
"188",415736,1
"189",415738,1
"190",415762,1
"191",415812,1
"192",415822,1
"193",415857,2
"194",415927,1
"195",415935,1
"196",415970,1
"197",415986,1
"198",415998,1
"199",416016,1
"200",416155,3
"201",416184,4
"202",416196,1
"203",416231,3
"204",416315,1
"205",416393,1
"206",416400,1
"207",416406,1
"208",416431,3
"209",416458,3
"210",416539,3
"211",416544,1
"212",416548,6
"213",416551,1
"214",416606,1
"215",416627,1
"216",416661,6
"217",416746,2
"218",416843,1
"219",416968,4
"220",417002,3
"221",417142,1
"222",417165,1
"223",417214,2
"224",417335,3
"225",417379,1
"226",417394,2
"227",417511,5
"228",417526,2
"229",418524,1
"230",419150,2
"231",419640,2
"232",419959,1
